file,line,type,library,icon_name,context,label
scripts\gui\GuiDeTiltTool.js,59,FontAwesome,FontAwesome (CSS class),fa-wrench,"<i class=""fa fa-wrench"" aria-hidden=""true""></i>",wrench
scripts\gui\GuiModelImport.js,76,FontAwesome,FontAwesome (CSS class),fa-trash,"'<i class=""fa fa-trash""></i>',",trash
scripts\gui\GuiModelImport.js,93,FontAwesome,FontAwesome (CSS class),fa-trash,"'<i class=""fa fa-trash""></i>',",trash
scripts\gui\GuiModelImport.js,179,FontAwesome,FontAwesome (CSS class),fa-trash,"'<i class=""fa fa-trash""></i>',",trash
scripts\gui\GuiModelImport.js,188,FontAwesome,FontAwesome (CSS class),fa-trash,"'<i class=""fa fa-trash""></i>',",trash
scripts\gui\GuiModelImport.js,234,FontAwesome,FontAwesome (CSS class),fa-upload,"'<i class=""fa fa-upload"" aria-hidden=""true""></i> ',",upload
scripts\gui\GuiModelImport.js,280,FontAwesome,FontAwesome (CSS class),fa-arrows,"'<i class=""fa fa-arrows"" aria-hidden=""true""></i>',",arrows
scripts\gui\GuiModelImport.js,284,FontAwesome,FontAwesome (CSS class),fa-rotate-right,"'<i class=""fa fa-rotate-right"" aria-hidden=""true""></i>',",rotate right
scripts\gui\GuiModelImport.js,288,FontAwesome,FontAwesome (CSS class),fa-arrows-alt,"'<i class=""fa fa-arrows-alt"" aria-hidden=""true""></i>',",arrows alt
scripts\gui\GuiModuleLibrary.ts,479,FontAwesome,FontAwesome (CSS class),fa-fw,"<i class=""fa fa-fw ${",fw
scripts\gui\GuiModuleLibrary.ts,485,FontAwesome,FontAwesome (CSS class),fa-copy,"<i class=""fa fa-fw fa-copy"" aria-hidden=""true""></i>",copy
scripts\gui\GuiModuleLibrary.ts,488,FontAwesome,FontAwesome (CSS class),fa-edit,"<i class=""fa fa-fw fa-edit"" aria-hidden=""true""></i>",edit
scripts\gui\GuiModuleLibrary.ts,494,FontAwesome,FontAwesome (CSS class),fa-trash,"<i class=""fa fa-fw fa-trash"" aria-hidden=""true""></i>",trash
scripts\gui\GuiShareProject.js,338,FontAwesome,FontAwesome (CSS class),fa-upload,"<i class=""fa fa-upload"" aria-hidden=""true""></i>",upload
scripts\gui\GuiShareProject.js,394,FontAwesome,FontAwesome (CSS class),fa-check-circle,"<i class=""fa fa-check-circle"" aria-hidden=""true""></i>",check circle
scripts\gui\GuiShareProject.js,406,FontAwesome,FontAwesome (CSS class),fa-check-circle,"<i class=""fa fa-check-circle"" aria-hidden=""true""></i>",check circle
scripts\gui\GuiShareProject.js,418,FontAwesome,FontAwesome (CSS class),fa-check-circle,"<i class=""fa fa-check-circle"" aria-hidden=""true""></i>",check circle
scripts\gui\GuiShareProject.js,430,FontAwesome,FontAwesome (CSS class),fa-check-circle,"<i class=""fa fa-check-circle"" aria-hidden=""true""></i>",check circle
scripts\gui\GuiShareProject.js,567,FontAwesome,FontAwesome (CSS class),fa-pulse,"$(`#share-photo-${imgIdx}`).append(""<i class='fa fa-4x fa-spinner fa-pulse wait-photo-banner' aria-hidden='true'></i>"")",pulse
scripts\gui\GuiShareProject.js,569,FontAwesome,FontAwesome (CSS class),fa-pulse,"$(`#share-photo-${imgIdx}`).append(""<i class='fa fa-4x fa-spinner fa-pulse wait-photo' aria-hidden='true'></i>"")",pulse
scripts\hooks\useDesignItemGroups.tsx,2,SVG_import,Local SVG file,drone.svg,,drone
scripts\hooks\useDesignItemGroups.tsx,3,SVG_import,Local SVG file,satellite.svg,,satellite
scripts\hooks\useMapDropdownItems.tsx,184,FontAwesome,FA component (string prop),fa-plus-square-o,"const plusIcon = <FA icon=""fa-plus-square-o"" onClick={handleAddNearmap} />;",plus square o
scripts\hooks\useMapDropdownItems.tsx,457,FontAwesome,FA component (string prop),fa-map-pin,"icon: <FA icon=""fa-map-pin"" />,",map pin
